;CreditSum;sex;age;EducationStatus;kolichestvo_rabotnikov_v_organizacii;Employment;OrgStanding_N;kolichestvo_detej_mladshe_18;Residence;ConfirmedMonthlyIncome (Target)
181;31000.0;0;34;4;3;2;1.166666;1;0;27796.29
182;113400.0;1;51;2;1;1;6.8333330000000005;0;1;44299.7
183;503000.0;1;42;2;1;1;4.5;1;0;20043.34
184;236500.0;0;55;4;1;1;7.0;0;1;35337.51
185;712000.0;1;29;4;1;2;1.083333;1;1;50520.75
186;31000.0;0;44;4;3;1;8.5;0;1;33897.01
187;47000.0;1;28;4;3;1;8.25;0;1;28271.21
188;31000.0;0;30;4;3;1;7.666666;0;1;70914.41
189;50000.0;1;31;4;3;1;0.5;0;1;21940.01
190;400000.0;0;27;4;3;1;1.833333;0;1;23031.22
191;31000.0;0;27;4;3;1;0.583333;0;1;30658.81
192;532275.0;1;42;2;2;1;8.083333;2;0;38799.79
193;102708.0;1;44;4;3;3;19.583333;1;1;48840.89
194;31000.0;0;27;4;3;1;4.166666;1;1;63762.28
195;1361200.0;1;35;4;2;4;7.0;0;1;50317.1
196;910567.98;1;47;2;1;1;2.25;0;0;46052.83
197;31000.0;0;22;4;3;1;1.583333;0;1;24696.65
198;783200.0;1;51;4;3;3;2.0;0;1;84460.33
199;31000.0;0;47;4;2;2;11.0;1;1;43940.27
200;290250.0;0;26;4;3;3;3.0;0;1;47646.65
201;31000.0;0;30;4;3;2;2.083333;1;1;47038.24
202;480000.0;0;55;2;1;1;1.916666;0;0;26100.0
203;31000.0;0;30;4;3;1;7.5;0;1;29061.36
204;571500.0;1;46;2;3;1;13.0;1;0;50318.54
205;718000.0;0;37;4;3;3;2.916666;0;1;67090.6
206;31000.0;0;27;4;3;1;1.5;0;1;27685.71
207;453375.0;1;53;1;3;1;5.0;0;0;23195.84
208;710000.0;1;31;2;1;1;4.5;1;0;46756.27
209;882369.88;1;29;4;1;2;5.166666;0;1;35766.37
210;846000.0;1;49;4;0;4;6.416666;0;1;80040.0
211;410000.0;1;22;2;2;1;0.583333;0;0;24920.44
212;499999.32;1;22;2;3;1;3.416666;0;1;29215.26
213;100000.0;1;40;2;3;1;4.166666;2;1;37367.89
214;712000.0;1;55;2;3;1;19.5;0;1;41182.94
215;31000.0;0;33;4;3;1;0.583333;0;1;54952.45
216;100000.0;0;26;4;3;1;3.0;0;1;50604.64
217;102500.0;0;54;2;3;1;36.0;0;1;25416.66
218;354204.0;1;32;2;3;1;6.0833330000000005;0;1;60195.18
219;560000.0;1;25;4;1;3;2.25;2;0;49673.43
220;31000.0;0;35;4;1;1;1.0;3;1;31585.18
221;755208.15;1;26;2;0;1;5.0;0;1;30049.75
222;31000.0;0;21;3;3;1;1.5;0;1;27523.22
223;725674.47;0;33;4;2;3;1.083333;0;1;25011.0
224;264375.0;0;35;2;3;1;1.0;3;1;23486.37
225;31000.0;1;31;4;1;1;7.5;1;1;32103.37
226;337500.0;0;34;4;1;2;12.833333;0;0;37231.32
227;700000.0;0;43;1;2;1;2.0;1;1;16812.11
228;31000.0;0;51;4;3;3;8.0;0;1;47915.66
229;31000.0;1;34;4;3;3;10.0;2;0;33491.66
230;281250.0;0;50;2;3;1;2.666666;0;1;20610.55
231;35000.0;0;43;4;0;3;5.0833330000000005;1;0;28864.18
232;500000.0;0;30;4;3;1;4.416666;0;0;82420.23
233;708000.0;0;38;4;3;1;7.8333330000000005;2;0;41959.0
234;701000.0;0;46;4;3;3;14.0;0;1;75935.24
235;504496.31;0;28;4;2;3;3.416666;0;1;67452.76
236;800000.0;0;32;4;3;2;8.166666000000001;1;1;68934.05
237;31000.0;1;35;4;3;3;11.416666000000001;1;1;50216.12
238;524496.6;0;26;4;2;1;3.416666;0;1;25588.8
239;941600.0;0;23;4;3;1;1.166666;0;1;32748.27
240;110704.0;1;56;4;0;1;12.0;0;0;12669.9
241;326391.17;1;57;1;2;1;1.5;0;0;16095.25
242;587500.0;0;37;4;1;1;5.25;1;0;23027.18
243;650000.0;0;24;4;3;1;1.416666;0;1;38007.72
244;300000.0;1;26;4;1;1;1.25;0;1;40790.54
245;950000.0;1;30;4;3;4;2.0;1;1;120672.04
246;50000.0;1;56;2;2;1;0.25;1;1;54235.63
247;340313.0;1;28;2;3;1;2.0;0;1;37551.44
248;600000.0;1;39;2;1;1;1.5;2;0;30836.77
249;455625.0;1;30;4;2;2;7.0;2;0;32053.36
250;50000.0;0;23;4;3;1;1.416666;0;0;21909.97
251;50000.0;0;28;4;3;1;0.583333;0;1;44969.32
252;100000.0;1;26;4;2;1;3.75;0;0;56454.83
253;770110.0;1;40;2;3;1;21.0;1;1;64355.3
254;31000.0;0;44;2;0;1;7.916666;1;0;14110.0
255;50000.0;0;36;4;3;1;0.916666;0;1;30891.18
256;100000.0;1;45;4;1;1;17.0;2;1;25700.0
257;371250.0;1;31;4;3;1;8.0;1;0;50055.82
258;300000.0;0;37;4;1;1;17.0;2;0;40038.73
259;265523.0;0;30;4;3;1;8.416666000000001;1;1;24653.26
260;60000.0;0;41;4;3;1;15.0;1;1;21166.54
261;500000.0;1;39;2;0;3;5.0;2;1;99341.07
262;828872.76;1;24;1;2;1;3.083333;0;1;34233.0
263;31000.0;0;24;4;3;1;2.166666;0;1;26153.4
264;574258.05;0;60;4;1;1;22.0;0;1;30502.93
265;685000.0;0;37;4;1;4;6.0;1;0;40251.43
266;701000.0;0;58;2;1;3;4.25;0;1;42594.83
267;783200.0;1;33;2;1;2;3.666666;1;0;72688.5
268;869400.0;1;33;4;2;2;0.5;2;1;36549.7
269;90000.0;1;46;1;3;1;6.916666;0;0;49552.45
270;136794.27;0;24;4;3;1;3.5;0;1;27469.9
271;31000.0;0;50;4;3;2;5.5833330000000005;0;1;27646.61
272;100000.0;0;40;4;3;1;11.083333;2;1;47175.2
273;1579900.0;1;44;2;2;3;24.0;0;1;58229.46
274;798000.0;1;51;4;3;3;1.0;1;1;57953.48
275;31000.0;1;24;1;3;1;0.5;0;0;21552.68
276;815000.0;0;44;4;2;3;0.916666;0;1;53274.62
277;116850.0;0;27;4;2;1;0.583333;1;1;40353.22
278;800000.0;0;49;4;0;3;18.0;0;1;37019.0
279;108334.0;1;43;2;3;1;2.583333;1;1;50081.25
280;200000.0;1;36;4;1;2;1.0;2;1;66436.26
281;100000.0;1;23;2;3;1;1.166666;0;0;24700.27
282;31000.0;0;21;4;3;1;2.166666;0;1;18439.27
283;456500.0;1;45;4;2;1;15.0;3;0;36480.36
284;365971.65;1;43;2;2;1;4.8333330000000005;1;1;32424.41
285;300000.0;0;33;4;3;2;8.416666000000001;1;0;32053.6
286;35000.0;1;37;4;3;1;10.5;1;1;57100.0
287;539458.23;1;45;1;1;1;9.083333;1;0;21389.0
288;371771.28;1;28;2;3;1;6.916666;0;1;23605.56
289;31000.0;0;45;4;1;3;26.0;1;0;30512.27
290;109113.0;0;49;2;2;1;3.0;0;0;19411.85
291;70000.0;0;27;4;3;1;3.416666;1;1;61717.69
292;158800.0;1;27;4;0;1;5.3333330000000005;0;0;26233.13
293;500000.0;1;32;5;1;1;1.583333;2;0;73591.0
294;928400.0;1;54;4;3;1;21.416666;0;1;52880.08
295;124300.0;0;52;4;1;1;4.0;1;1;27758.1
296;477096.69;1;47;2;3;1;1.833333;1;1;27347.4
297;322500.0;0;51;2;3;1;33.0;1;1;24000.0
298;100000.0;0;28;4;3;4;5.5833330000000005;0;1;46294.0
299;50000.0;0;32;2;3;3;0.75;1;1;27815.1
300;112500.0;0;36;4;1;1;5.0;1;0;25724.17
301;1488158.03;1;43;2;3;1;5.416666;0;1;55411.98
302;781000.0;1;33;4;0;4;3.416666;1;1;74530.0
303;62782.29;1;36;4;3;2;4.5;0;1;55720.98
304;408900.0;0;41;4;2;1;6.0;1;1;26623.5
305;480600.0;1;61;2;2;1;15.666666000000001;0;1;63333.72
306;100000.0;0;51;4;3;3;8.0;0;1;47640.42
307;50000.0;1;55;4;3;3;6.0;0;1;51356.37
308;701000.0;1;24;2;1;1;3.0;0;1;53216.5
309;950000.0;1;42;2;3;1;8.666666000000001;1;1;36044.31
310;770000.0;1;51;1;3;1;9.166666000000001;1;1;37104.47
311;112500.0;0;44;4;1;1;24.75;0;0;18776.7
312;300000.0;0;39;4;1;1;16.0;1;0;36828.24
313;50000.0;0;42;2;0;1;9.583333;1;0;23490.0
314;712900.0;0;31;4;3;2;7.0;2;0;30621.63
315;150000.0;0;44;4;1;1;6.166666;1;0;33971.93
316;1100000.0;1;50;5;1;4;1.25;0;0;46014.8
317;881114.41;0;46;2;3;1;28.0;0;1;25304.48
318;688500.0;1;56;2;3;1;21.0;0;1;36934.5
319;31000.0;0;40;4;3;1;2.333333;1;1;41296.21
320;701000.0;0;37;4;2;3;17.0;0;1;39499.59
321;329181.89;0;28;4;2;1;6.0;0;0;33470.64
322;416250.0;1;33;1;2;1;3.0;0;1;43758.59
323;35000.0;0;35;4;3;1;5.3333330000000005;2;1;40812.5
324;474113.0;0;29;2;3;1;7.416666;2;0;28388.03
325;500000.0;0;48;4;0;4;14.0;0;0;37907.87
326;1100000.0;0;47;4;2;1;24.0;0;1;42751.0
327;710000.0;0;48;4;1;4;4.666666;0;1;48761.27
328;35000.0;0;34;4;3;2;6.5833330000000005;0;1;48908.1
329;550000.0;0;45;2;2;4;5.916666;0;1;64902.53
330;393402.64;1;50;2;3;1;21.0;1;1;50810.44
331;50000.0;0;30;4;1;1;3.0;0;1;28252.09
332;708000.0;1;56;2;3;1;27.0;0;0;27083.0
333;210000.0;1;42;2;2;1;1.166666;1;0;33975.39
334;558000.0;1;23;2;3;1;1.5;0;1;34012.15
335;35000.0;1;35;2;0;1;1.0;1;1;32190.0
336;50000.0;0;47;4;3;3;14.75;0;1;77152.32
337;107500.0;0;44;2;3;1;20.5;0;0;42501.02
338;31000.0;0;31;4;3;1;9.083333;0;1;30562.29
339;296043.6;1;26;4;3;1;2.083333;0;1;21504.08
340;560000.0;0;47;1;2;1;20.416666;0;1;15356.83
341;520000.0;0;53;2;3;1;6.0;1;1;35778.64
342;31000.0;1;29;4;3;1;5.0;0;1;30044.28
343;990000.0;1;54;2;3;1;33.333333;0;1;34991.08
344;830000.0;0;47;4;0;1;12.083333;0;1;25880.34
345;31000.0;0;24;2;3;1;3.833333;1;1;19774.83
346;200000.0;0;41;4;2;3;20.0;1;1;61691.71
347;900000.0;1;45;4;0;4;0.5;1;1;71308.15
348;35000.0;0;45;4;3;2;8.25;0;1;45248.34
349;31000.0;0;26;4;3;1;3.25;0;0;33771.36
350;517968.17;1;60;1;1;1;13.0;0;1;13999.19
351;159188.0;1;39;2;3;1;5.25;1;1;24155.8
352;31000.0;0;22;2;3;1;1.166666;0;1;24612.18
353;31000.0;0;24;5;3;1;1.416666;0;1;25092.29
354;384924.29;1;54;2;1;1;3.0;0;0;21741.39
355;384924.29;0;48;2;1;1;3.666666;0;0;20198.52
356;446100.0;0;44;4;3;1;10.0;0;0;25600.16
357;406596.97;1;36;4;2;4;6.0;3;1;46707.17
358;426400.0;1;44;1;2;1;4.0;3;0;27592.34
359;487000.0;0;49;2;1;3;2.916666;0;0;19196.98
360;309834.38;1;36;4;3;1;5.166666;0;1;30737.62
361;797762.18;1;41;2;3;1;23.0;2;0;38193.18
362;31000.0;0;31;4;3;1;9.0;1;1;50881.51
363;50000.0;1;33;4;3;3;8.166666000000001;1;1;50218.34
364;427500.0;1;27;4;1;1;1.583333;0;1;37453.16
365;100000.0;0;27;3;3;1;6.916666;0;1;30363.0
366;770000.0;1;52;2;3;1;4.916666;0;1;29393.3
367;31000.0;0;40;2;3;1;5.666666;0;1;20991.9
368;715000.0;1;30;4;3;1;0.583333;0;0;51905.3
369;265575.07;1;41;4;1;2;18.0;2;0;31043.88
370;1540300.0;1;29;4;1;1;0.583333;1;0;48584.61
371;670367.5;1;51;4;3;3;12.0;0;1;58431.89
372;107022.0;0;56;2;1;1;36.0;0;0;27350.93
373;250000.0;1;39;6;3;4;11.0;1;1;187240.4
374;605000.0;1;56;2;2;1;2.75;1;1;33350.8
375;189299.42;0;30;2;3;1;9.0;2;0;24648.27
376;31000.0;1;31;2;2;1;8.0;0;1;25615.55
377;268900.0;1;25;2;3;1;0.5;1;0;34163.5
378;50000.0;1;26;4;3;1;0.5;0;1;25752.67
379;31000.0;0;39;4;3;1;1.5;0;0;33651.87
380;142500.0;0;32;4;1;1;1.416666;1;1;30271.41
381;31000.0;0;24;4;1;1;1.166666;0;0;23337.31
382;512000.0;1;57;1;1;1;0.666666;0;0;20206.42
383;980000.0;1;55;4;1;3;14.25;0;1;138330.0
384;435800.0;0;41;4;1;1;15.0;1;1;30747.74
385;100000.0;0;44;4;3;3;4.0;1;0;53259.0
386;31000.0;0;31;4;1;1;0.916666;0;1;26955.73
387;100000.0;1;29;2;3;1;0.916666;2;0;26907.94
388;400000.0;0;26;4;3;1;1.083333;0;1;26620.0
389;360474.55;0;47;2;1;1;2.0;0;0;23352.26
390;140187.33;0;26;4;3;2;1.083333;0;0;21749.52
391;50000.0;0;52;4;0;3;2.083333;0;1;74922.06
392;1200000.0;0;34;4;2;3;0.833333;1;1;58985.0
393;35000.0;1;47;5;1;4;2.916666;1;1;119662.42
394;31000.0;0;27;4;3;1;7.916666;0;1;28775.14
395;309450.0;0;39;4;1;1;20.0;1;1;30323.05
396;309450.0;1;41;2;3;1;1.5;1;1;42490.88
397;1074962.14;1;32;5;2;1;4.8333330000000005;2;1;198303.0
398;50000.0;0;53;4;0;4;19.5;0;1;51497.45
399;761815.15;0;40;4;0;3;3.416666;1;1;63874.7
400;100000.0;1;31;4;3;3;4.0;0;1;159168.13
401;675000.0;0;48;2;3;1;13.0;0;0;25457.25
402;31000.0;0;53;2;1;1;0.75;0;1;21473.22
403;709450.0;1;30;2;2;1;4.0833330000000005;2;0;37857.82
404;133521.0;0;57;4;1;1;25.0;0;1;41220.58
405;214500.0;0;42;4;3;1;10.75;1;0;38221.06
406;1133182.71;0;55;4;3;1;6.0;0;1;32725.25
407;31000.0;0;28;4;3;1;4.8333330000000005;0;1;23235.18
408;596900.0;1;31;4;1;1;8.0;1;1;27902.36
409;505000.0;0;23;2;2;1;3.0;0;0;23784.98
410;50000.0;1;27;4;3;1;1.166666;0;1;26991.0
411;266785.45;0;44;2;0;1;6.5;0;1;26238.24
412;31000.0;0;31;4;3;1;1.166666;2;1;50299.97
413;108360.0;1;44;2;1;1;11.0;1;0;16925.85
414;50000.0;0;33;4;3;1;4.916666;1;1;45539.54
415;703000.0;0;26;4;3;1;6.75;0;1;34956.91
416;550000.0;0;31;4;3;1;7.5833330000000005;2;0;43114.3
417;550000.0;1;35;4;3;3;4.5;1;1;41325.25
418;712000.0;0;49;2;2;3;31.25;1;0;12299.95
419;712000.0;1;55;2;1;1;3.5;1;0;26509.0
420;600000.0;0;53;4;3;1;30.166665999999996;0;1;34682.86
421;198932.06;0;57;2;2;3;15.416666000000001;0;1;12618.32
422;31000.0;0;49;2;3;1;21.0;0;1;22701.34
423;300000.0;0;36;2;1;1;0.833333;2;0;14818.75
424;1500000.0;1;41;4;1;1;3.666666;3;1;54810.0
425;31000.0;0;29;4;3;1;1.0;0;1;23682.04
426;750000.0;0;46;4;1;4;4.0;0;0;23692.3
427;853440.0;0;51;4;2;3;2.75;0;1;104256.26
428;100000.0;1;31;4;3;4;3.5;2;0;46049.67
429;112875.0;1;25;2;3;1;1.5;0;1;50450.19
430;1000000.0;0;55;2;2;1;34.25;1;0;39643.02
431;587500.0;1;57;4;2;1;2.416666;0;1;33324.56
432;1285255.23;1;32;2;2;1;2.0;0;1;22375.25
433;500000.0;0;34;3;3;1;6.3333330000000005;0;1;22499.98
434;743060.0;0;51;4;1;1;10.5;0;1;31161.92
435;40000.0;1;44;2;2;1;0.5;0;1;16874.0
436;1246300.0;0;44;4;0;2;6.166666;0;1;65632.0
437;1143203.26;1;46;4;0;1;12.0;1;1;187305.81
438;50000.0;0;48;4;3;1;0.416666;0;1;44401.78
439;100000.0;0;29;4;3;2;4.3333330000000005;1;1;117226.75
440;35000.0;0;40;2;3;1;5.0;0;0;21658.11
441;300000.0;1;34;4;3;1;4.166666;0;1;49698.92
442;247842.28;0;61;4;2;1;21.0;0;1;23390.78
443;293190.71;1;26;4;2;3;4.5;0;1;38666.18
